country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Argentina,AR,2023-12-24,Films,8,Good Will Hunting,N/A,1
Argentina,AR,2023-12-24,Films,9,The Lost City,N/A,2
Argentina,AR,2023-12-24,Films,10,Permitidos,N/A,1
Argentina,AR,2023-12-24,TV,1,My Life With the Walter Boys,My Life With the Walter Boys: Season 1,3
Argentina,AR,2023-12-24,TV,2,High Tides,High Tides: Season 1,2
Argentina,AR,2023-12-24,TV,3,The Crown,The Crown: Season 6,5
Argentina,AR,2023-12-24,TV,4,True Beauty,N/A,2
Argentina,AR,2023-12-24,TV,5,Yu Yu Hakusho,Yu Yu Hakusho: Season 1,2
Argentina,AR,2023-12-24,TV,6,A Nearly Normal Family,A Nearly Normal Family: Limited Series,5
Argentina,AR,2023-12-24,TV,7,Yellowjackets,Yellowjackets: Season 1,1
Argentina,AR,2023-12-24,TV,8,The Influencer,The Influencer: Season 1,1
Argentina,AR,2023-12-24,TV,9,My Demon,My Demon: Limited Series,4
Argentina,AR,2023-12-24,TV,10,Blood Coast,Blood Coast: Season 1,3
Argentina,AR,2023-12-17,Films,1,Leave the World Behind,N/A,2
Argentina,AR,2023-12-17,Films,2,El Amor Menos Pensado,N/A,1
Argentina,AR,2023-12-17,Films,3,Old,N/A,1
Argentina,AR,2023-12-17,Films,4,The Lost City,N/A,1
Argentina,AR,2023-12-17,Films,5,Women on the Edge,N/A,3
Argentina,AR,2023-12-17,Films,6,Leo,N/A,4
Argentina,AR,2023-12-17,Films,7,Nobody,N/A,2
Argentina,AR,2023-12-17,Films,8,Blood Vessel,N/A,1
Argentina,AR,2023-12-17,Films,9,Underwater,N/A,1
Argentina,AR,2023-12-17,Films,10,Chicken Run: Dawn of the Nugget,N/A,1
Argentina,AR,2023-12-17,TV,1,My Life With the Walter Boys,My Life With the Walter Boys: Season 1,2
Argentina,AR,2023-12-17,TV,2,High Tides,High Tides: Season 1,1
Argentina,AR,2023-12-17,TV,3,True Beauty,N/A,1
Argentina,AR,2023-12-17,TV,4,A Nearly Normal Family,A Nearly Normal Family: Limited Series,4
